======================================================================
SAS AUDIT LOG - 2026-07-10
======================================================================
One row records one SAS action. Passwords and secret values are never written to this file.

TIME     | ACTOR                | ACTION                       | DETAILS
---------+----------------------+------------------------------+------------------------------------------
07:36:24 | ADMIN                | LOGIN SUCCESS                | Role: Admin · Method: Built-in Local Admin
07:36:25 | ADMIN                | RESTRICTED PAGE OPENED       | Page: Settings
07:37:11 | ADMIN                | SETTINGS SAVED               | Server credentials: Configured · Server account: 4372447 · Password: Updated · Server path: \\mypenm0vdspc16\internship\Gary LIm\SAS_finaltest · Pi host: Not configured · Inactivity lock: Not configured → 05:00 · Disabled while locked: None → Keyboard, Mouse · Auto capture: Disabled · Camera rotation: 0°
07:38:45 | ADMIN                | LOGIN SUCCESS                | Role: Admin · Method: Built-in Local Admin
07:38:47 | ADMIN                | RESTRICTED PAGE OPENED       | Page: Settings
07:39:09 | ADMIN                | RESTRICTED PAGE OPENED       | Page: Settings
07:39:13 | ADMIN                | LOGOUT                       | —
07:50:10 | ADMIN                | LOGIN SUCCESS                | Role: Admin · Method: Built-in Local Admin
07:50:10 | ADMIN                | RESTRICTED PAGE OPENED       | Page: Settings
07:50:47 | ADMIN                | LOGIN SUCCESS                | Role: Admin · Method: Built-in Local Admin
07:50:51 | ADMIN                | RESTRICTED PAGE OPENED       | Page: Settings
07:50:55 | ADMIN                | RESTRICTED PAGE OPENED       | Page: Settings
07:51:45 | ADMIN                | RESTRICTED PAGE OPENED       | Page: Settings
08:00:01 | ADMIN                | LOGIN SUCCESS                | Role: Admin · Method: Built-in Local Admin
08:00:01 | ADMIN                | RESTRICTED PAGE OPENED       | Page: Settings
08:00:06 | ADMIN                | RESTRICTED PAGE OPENED       | Page: Settings
08:00:14 | ADMIN                | RESTRICTED PAGE OPENED       | Page: Settings
08:00:21 | ADMIN                | PI CONNECTED                 | Pi host: JEFACE1111 · API port: 5000 · Oneconnect: Normal connect
08:00:21 | ADMIN                | AUTO CAPTURE CHANGED         | State: Enabled · Pi host: JEFACE1111
08:00:26 | ADMIN                | SETTINGS SAVED               | Server path: \\mypenm0vdspc16\internship\Gary LIm\SAS_finaltest · Pi host: JEFACE1111 · Inactivity lock: 05:00 · Disabled while locked: Keyboard, Mouse · Auto capture: Enabled · Camera rotation: 0°
08:00:26 | ADMIN                | RESTRICTED PAGE OPENED       | Page: Face Recognition
08:03:51 | ADMIN                | RESTRICTED PAGE OPENED       | Page: Settings
08:03:53 | ADMIN                | PI DISCONNECTED              | Pi host: JEFACE1111 · Result: Manual disconnect
08:15:53 | ADMIN                | PI CONNECTED                 | Pi host: JEFACE1111 · API port: 5000 · Oneconnect: Normal connect
08:15:58 | ADMIN                | AUTO CAPTURE CHANGED         | State: Disabled · Pi host: JEFACE1111
08:16:02 | ADMIN                | SETTINGS SAVED               | Server path: \\mypenm0vdspc16\internship\Gary LIm\SAS_finaltest · Pi host: JEFACE1111 · Inactivity lock: 05:00 · Disabled while locked: Keyboard, Mouse · Auto capture: Disabled · Camera rotation: 0°
08:16:02 | ADMIN                | RESTRICTED PAGE OPENED       | Page: Face Recognition
08:16:04 | ADMIN                | RESTRICTED PAGE OPENED       | Page: Settings
08:16:05 | ADMIN                | RESTRICTED PAGE OPENED       | Page: Face Recognition
08:16:07 | ADMIN                | RESTRICTED PAGE OPENED       | Page: Settings
08:16:56 | ADMIN                | RESTRICTED PAGE OPENED       | Page: Face Recognition
08:16:59 | ADMIN                | RESTRICTED PAGE OPENED       | Page: Face Recognition
08:17:00 | ADMIN                | RESTRICTED PAGE OPENED       | Page: Settings
08:17:05 | ADMIN                | PI DISCONNECTED              | Pi host: JEFACE1111 · Result: Manual disconnect
08:17:08 | ADMIN                | RESTRICTED PAGE OPENED       | Page: Settings
08:17:19 | ADMIN                | RESTRICTED PAGE OPENED       | Page: Settings
08:17:33 | ADMIN                | PI DISCONNECTED              | Pi host: JEFACE1111 · Result: Manual disconnect
08:17:37 | ADMIN                | RESTRICTED PAGE OPENED       | Page: Settings
08:17:40 | ADMIN                | PI CONNECTED                 | Pi host: JEFACE1111 · API port: 5000 · Oneconnect: Normal connect
08:17:53 | ADMIN                | PI DISCONNECTED              | Pi host: JEFACE1111 · Result: Manual disconnect
