======================================================================
SAS AUDIT LOG - 2026-07-27
======================================================================
One row records one SAS action. Passwords and secret values are never written to this file.

TIME     | ACTOR                | ACTION                       | DETAILS
---------+----------------------+------------------------------+------------------------------------------
09:12:05 | ADMIN                | LOGIN SUCCESS                | Role: Admin · Method: Built-in Local Admin
09:12:05 | ADMIN                | RESTRICTED PAGE OPENED       | Page: Settings
09:12:16 | ADMIN                | PI CONNECTED                 | Pi host: JEFACEDESKTOP · API port: 5000 · Oneconnect: Normal connect
09:12:19 | ADMIN                | SETTINGS SAVED               | Server path: \\mypenm0vdspc16\internship\Gary LIm\SAS_finaltest · Pi host: JEFACESERVICE → JEFACEDESKTOP · Inactivity lock: 05:00 · Disabled while locked: Keyboard · Auto capture: Disabled · Camera rotation: 180°
09:12:19 | ADMIN                | RESTRICTED PAGE OPENED       | Page: Face Recognition
09:14:25 | ADMIN                | RESTRICTED PAGE OPENED       | Page: Face Recognition
09:14:31 | ADMIN                | RESTRICTED PAGE OPENED       | Page: Settings
09:30:50 | ADMIN                | RESTRICTED PAGE OPENED       | Page: Settings
09:31:01 | ADMIN                | RESTRICTED PAGE OPENED       | Page: Settings
09:31:10 | ADMIN                | RESTRICTED PAGE OPENED       | Page: Settings
11:15:33 | ADMIN                | LOGIN SUCCESS                | Role: Admin · Method: Built-in Local Admin
11:15:33 | ADMIN                | RESTRICTED PAGE OPENED       | Page: Settings
11:15:50 | ADMIN                | RESTRICTED PAGE OPENED       | Page: Face Recognition
11:17:46 | ADMIN                | RESTRICTED PAGE OPENED       | Page: Face Recognition
11:18:00 | ADMIN                | FACE USER REGISTERED         | Name: Gary · Employee Id: 4372447 · Samples: 2 · Model: InsightFace buffalo_s
11:18:13 | 4372447              | UNLOCKED                     | Method: FACE_RECOGNITION_WEBSOCKET · Confidence: 86.4% · Pi host: JEFACEDESKTOP · Event Id: 955f44d3-b7ae-47c6-8e88-309fa9ed69fc
11:18:20 | ADMIN                | RESTRICTED PAGE OPENED       | Page: Face Recognition
11:18:21 | ADMIN                | RESTRICTED PAGE OPENED       | Page: Settings
11:18:32 | ADMIN                | RESTRICTED PAGE OPENED       | Page: Face Recognition
11:18:43 | ADMIN                | RESTRICTED PAGE OPENED       | Page: Settings
