[2026-06-22 15:59:57] UNLOCKED | USER=EMERGENCY | METHOD=EMERGENCY_HOTKEY | CONFIDENCE=N/A
[2026-06-22 16:06:44] UNLOCKED | USER=EMERGENCY | METHOD=EMERGENCY_HOTKEY | CONFIDENCE=N/A
[2026-06-22 16:06:45] UNLOCKED | USER=EMERGENCY | METHOD=EMERGENCY_HOTKEY | CONFIDENCE=N/A
[2026-06-22 16:10:11] UNLOCKED | USER=EMERGENCY | METHOD=EMERGENCY_HOTKEY | CONFIDENCE=N/A
[2026-06-22 16:15:50] UNLOCKED | USER=EMERGENCY | METHOD=EMERGENCY_HOTKEY | CONFIDENCE=N/A
[2026-06-22 16:18:08] UNLOCKED | USER=EMERGENCY | METHOD=EMERGENCY_HOTKEY | CONFIDENCE=N/A
[2026-06-22 16:18:08] UNLOCKED | USER=EMERGENCY | METHOD=EMERGENCY_HOTKEY | CONFIDENCE=N/A
[2026-06-22 16:22:25] UNLOCKED | USER=EMERGENCY | METHOD=EMERGENCY_HOTKEY | CONFIDENCE=N/A
[2026-06-22 16:22:25] UNLOCKED | USER=EMERGENCY | METHOD=EMERGENCY_HOTKEY | CONFIDENCE=N/A
[2026-06-22 16:24:47] UNLOCKED | USER=EMERGENCY | METHOD=EMERGENCY_HOTKEY | CONFIDENCE=N/A
[2026-06-22 16:25:37] UNLOCKED | USER=EMERGENCY | METHOD=EMERGENCY_HOTKEY | CONFIDENCE=N/A
[2026-06-22 16:25:37] UNLOCKED | USER=EMERGENCY | METHOD=EMERGENCY_HOTKEY | CONFIDENCE=N/A
