======================================================================
SAS AUDIT LOG - 2026-07-08
======================================================================
One row records one SAS action. Passwords and secret values are never written to this file.

TIME     | ACTOR                | ACTION                       | DETAILS
---------+----------------------+------------------------------+------------------------------------------
09:42:48 | ADMIN                | LOGIN SUCCESS                | Role: Admin · Method: Built-in Local Admin
09:42:48 | ADMIN                | RESTRICTED PAGE OPENED       | Page: Settings
09:42:50 | ADMIN                | PI CONNECTED                 | Pi host: JEFACE001 · API port: 5000
09:43:02 | 4372447              | UNLOCKED                     | Method: FACE_RECOGNITION_WEBSOCKET · Confidence: 78.5% · Pi host: JEFACE001 · Event Id: 16f8977b-7a27-49ad-a12e-ee562a796249
09:43:51 | 4372447              | UNLOCKED                     | Method: FACE_RECOGNITION_WEBSOCKET · Confidence: 78.4% · Pi host: JEFACE001 · Event Id: c036ad1a-13e1-48ac-ad42-62e520d72392
09:44:35 | 4372447              | UNLOCKED                     | Method: FACE_RECOGNITION_WEBSOCKET · Confidence: 79.7% · Pi host: JEFACE001 · Event Id: 21878877-f11c-46e7-9968-b290068e85b1
09:49:04 | ADMIN                | RESTRICTED PAGE OPENED       | Page: Settings
09:49:06 | ADMIN                | PI CONNECTED                 | Pi host: JEFACE001 · API port: 5000
09:49:19 | 4372447              | UNLOCKED                     | Method: FACE_RECOGNITION_WEBSOCKET · Confidence: 77.3% · Pi host: JEFACE001 · Event Id: e2e26c45-5a91-4848-86a5-615c0cf4aced
09:55:05 | 4372447              | UNLOCKED                     | Method: FACE_RECOGNITION_WEBSOCKET · Confidence: 77.6% · Pi host: JEFACE001 · Event Id: e5120c90-b661-4291-801c-8c24312ec8f9
10:00:20 | ADMIN                | RESTRICTED PAGE OPENED       | Page: Settings
10:00:32 | ADMIN                | SETTINGS SAVED               | Server credentials: Updated · Server account: 4372447 · Password: Updated · Server path: //mypenm0vdspc16/internship/Gary LIm/SAS_finaltest · Pi host: JEFACE001 · Inactivity lock: 30:00 · Disabled while locked: Keyboard, Mouse · Auto capture: Enabled · Camera rotation: 0°
10:06:09 | ADMIN                | PI CONNECTION FAILED         | Requested host: facerecognition · Result: Failed
10:06:10 | ADMIN                | RESTRICTED PAGE OPENED       | Page: Settings
10:06:14 | ADMIN                | PI CONNECTION FAILED         | Requested host: facerecognition · Result: Failed
