[2026-06-19 11:14:27] UNLOCKED | USER=EMERGENCY | METHOD=EMERGENCY_HOTKEY | CONFIDENCE=N/A
[2026-06-19 11:14:27] UNLOCKED | USER=EMERGENCY | METHOD=EMERGENCY_HOTKEY | CONFIDENCE=N/A
[2026-06-19 11:17:23] UNLOCKED | USER=EMERGENCY | METHOD=EMERGENCY_HOTKEY | CONFIDENCE=N/A
[2026-06-19 11:17:24] UNLOCKED | USER=EMERGENCY | METHOD=EMERGENCY_HOTKEY | CONFIDENCE=N/A
[2026-06-19 11:17:24] UNLOCKED | USER=EMERGENCY | METHOD=EMERGENCY_HOTKEY | CONFIDENCE=N/A
[2026-06-19 11:23:35] UNLOCKED | USER=EMERGENCY | METHOD=EMERGENCY_HOTKEY | CONFIDENCE=N/A
[2026-06-19 11:23:35] UNLOCKED | USER=EMERGENCY | METHOD=EMERGENCY_HOTKEY | CONFIDENCE=N/A
[2026-06-19 11:23:35] UNLOCKED | USER=EMERGENCY | METHOD=EMERGENCY_HOTKEY | CONFIDENCE=N/A
[2026-06-19 12:11:23] UNLOCKED | USER=EMERGENCY | METHOD=EMERGENCY_HOTKEY | CONFIDENCE=N/A
[2026-06-19 12:15:59] UNLOCKED | USER=EMERGENCY | METHOD=EMERGENCY_HOTKEY | CONFIDENCE=N/A
[2026-06-19 12:21:41] UNLOCKED | USER=EMERGENCY | METHOD=EMERGENCY_HOTKEY | CONFIDENCE=N/A
[2026-06-19 12:24:25] UNLOCKED | USER=EMERGENCY | METHOD=EMERGENCY_HOTKEY | CONFIDENCE=N/A
[2026-06-19 12:24:25] UNLOCKED | USER=EMERGENCY | METHOD=EMERGENCY_HOTKEY | CONFIDENCE=N/A
[2026-06-19 12:31:32] UNLOCKED | USER=EMERGENCY | METHOD=EMERGENCY_HOTKEY | CONFIDENCE=N/A
