======================================================================
SAS AUDIT LOG - 2026-07-23
======================================================================
One row records one SAS action. Passwords and secret values are never written to this file.

TIME     | ACTOR                | ACTION                       | DETAILS
---------+----------------------+------------------------------+------------------------------------------
08:20:02 | ADMIN                | RESTRICTED PAGE OPENED       | Page: Face Recognition
08:20:10 | ADMIN                | RESTRICTED PAGE OPENED       | Page: Settings
08:20:11 | ADMIN                | RESTRICTED PAGE OPENED       | Page: Face Recognition
08:26:24 | ADMIN                | RESTRICTED PAGE OPENED       | Page: Settings
08:42:44 | 4372447              | UNLOCKED                     | Method: FACE_RECOGNITION_LOCAL · Confidence: 72.42% · Camera Host: JBLEYEPOC035 · Event Id: 95da834f-1b73-44e3-9361-cc94be8b25a7
09:51:30 | ADMIN                | RESTRICTED PAGE OPENED       | Page: Face Recognition
10:46:38 | ADMIN                | RESTRICTED PAGE OPENED       | Page: Face Recognition
10:46:40 | ADMIN                | RESTRICTED PAGE OPENED       | Page: Settings
10:46:42 | ADMIN                | CAMERA DISCONNECTED          | Camera Host: jbleyepoc035 · Result: Manual disconnect
10:47:11 | ADMIN                | CAMERA CONNECTION FAILED     | Requested host: 10.122.141.88 · Result: Failed
10:47:12 | ADMIN                | RESTRICTED PAGE OPENED       | Page: Settings
10:47:30 | ADMIN                | SETTINGS SAVED               | Server path: \\mypenm0vdspc16\internship\Gary LIm\SAS_finaltest · Camera Host: jbleyepoc035 → 10.122.141.88 · Inactivity lock: 05:00 · Disabled while locked: None · Camera rotation: 0°
10:47:30 | ADMIN                | RESTRICTED PAGE OPENED       | Page: Face Recognition
10:47:32 | ADMIN                | RESTRICTED PAGE OPENED       | Page: Settings
10:47:34 | ADMIN                | CAMERA DISCONNECTED          | Camera Host: 10.122.141.88 · Result: Manual disconnect
10:47:35 | ADMIN                | CAMERA CONNECTED             | Requested host: 10.122.141.88 · Camera Host: MYPENNBLOAN0457 · API port: 5000 · Oneconnect: Normal connect
10:47:40 | ADMIN                | CAMERA DISCONNECTED          | Camera Host: 10.122.141.88 · Result: Manual disconnect
10:47:41 | ADMIN                | CAMERA CONNECTED             | Requested host: 10.122.141.88 · Camera Host: MYPENNBLOAN0457 · API port: 5000 · Oneconnect: Normal connect
10:53:59 | ADMIN                | LOGIN SUCCESS                | Role: Admin · Method: Built-in Local Admin
10:53:59 | ADMIN                | RESTRICTED PAGE OPENED       | Page: Settings
10:54:02 | ADMIN                | CAMERA DISCONNECTED          | Camera Host: 10.122.141.88 · Result: Manual disconnect
10:54:03 | ADMIN                | CAMERA CONNECTED             | Requested host: 10.122.141.88 · Camera Host: MYPENNBLOAN0457 · API port: 5000 · Oneconnect: Normal connect
10:54:12 | ADMIN                | CAMERA DISCONNECTED          | Camera Host: 10.122.141.88 · Result: Manual disconnect
10:54:28 | ADMIN                | RESTRICTED PAGE OPENED       | Page: Settings
10:54:28 | ADMIN                | CAMERA CONNECTION FAILED     | Requested host: 10.122.141 · Result: Failed
10:54:34 | ADMIN                | CAMERA CONNECTED             | Requested host: 10.122.141.88 · Camera Host: MYPENNBLOAN0457 · API port: 5000 · Oneconnect: Normal connect
10:54:38 | ADMIN                | RESTRICTED PAGE OPENED       | Page: Face Recognition
10:54:40 | ADMIN                | RESTRICTED PAGE OPENED       | Page: Settings
10:54:41 | ADMIN                | CAMERA DISCONNECTED          | Camera Host: 10.122.141.88 · Result: Manual disconnect
10:55:00 | ADMIN                | RESTRICTED PAGE OPENED       | Page: Settings
10:55:01 | ADMIN                | CAMERA CONNECTION FAILED     | Requested host: jbleyepoc035 · Result: Failed
